tconst,primary_title,original_title,start_year,runtime_minutes,genres
tt0063540,Sunghursh,Sunghursh,2013,175,"Action,Crime,Drama"
tt0066787,One Day Before the Rainy Season,Ashad Ka Ek Din,2019,114,"Biography,Drama"
tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018,122,Drama
tt0069204,Sabse Bada Sukh,Sabse Bada Sukh,2018,,"Comedy,Drama"
tt0100275,The Wandering Soap Opera,La Telenovela Errante,2017,80,"Comedy,Drama,Fantasy"
tt0111414,A Thin Life,A Thin Life,2018,75,Comedy
tt0112502,Bigfoot,Bigfoot,2017,,"Horror,Thriller"
tt0137204,Joe Finds Grace,Joe Finds Grace,2017,83,"Adventure,Animation,Comedy"
tt0139613,O Silêncio,O Silêncio,2012,,"Documentary,History"
tt0144449,Nema aviona za Zagreb,Nema aviona za Zagreb,2012,82,Biography
tt0146592,Pál Adrienn,Pál Adrienn,2010,136,Drama
tt0154039,So Much for Justice!,Oda az igazság,2010,100,History
tt0159369,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,2013,180,Documentary
tt0162942,Children of the Green Dragon,A zöld sárkány gyermekei,2010,89,Drama
tt0170651,T.G.M. - osvoboditel,T.G.M. - osvoboditel,2018,60,Documentary
tt0176694,The Tragedy of Man,Az ember tragédiája,2011,160,"Animation,Drama,History"
tt0187902,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,2011,,
tt0192528,Heaven & Hell,Reverse Heaven,2018,104,Drama
tt0230212,The Final Journey,The Final Journey,2010,120,Drama
tt0247643,Los pájaros se van con la muerte,Los pájaros se van con la muerte,2011,110,"Drama,Mystery"
tt0249516,Foodfight!,Foodfight!,2012,91,"Action,Animation,Comedy"
tt0250404,Godfather,Godfather,2012,,"Crime,Drama"
tt0253093,Gangavataran,Gangavataran,2018,134,
tt0255820,Return to Babylon,Return to Babylon,2013,75,"Biography,Comedy,Drama"
tt0262218,Akakis mogzauroba,Akakis mogzauroba,2012,44,Documentary
tt0262759,Seven Jews from My Class,Siedmiu Zydów z mojej klasy,2018,40,Documentary
tt0263814,On kadin,On kadin,2019,,Drama
tt0276568,To Chase a Million,To Chase a Million,2018,97,"Action,Drama"
tt0277964,Prague: The Restless Heart of Europe,Praha - neklidné srdce Evropy,2018,59,"Documentary,History"
tt0283440,Short Time Heroes,Kurzzeithelden,2015,45,Sci-Fi
tt0285252,Life's a Beach,Life's a Beach,2012,100,Comedy
tt0285423,Abolição,Abolição,2019,,Documentary
tt0293069,Dark Blood,Dark Blood,2012,86,Thriller
tt0293429,Mortal Kombat,Mortal Kombat,2021,,"Action,Adventure,Fantasy"
tt0297400,Snowblind,Snowblind,2015,,"Crime,Drama"
tt0306058,Second Coming,Second Coming,2012,95,
tt0311448,Lives No Longer Ours,Lives No Longer Ours,2011,90,"Drama,Romance"
tt0312305,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,45,"Adventure,Animation,Sci-Fi"
tt0315642,Wazir,Wazir,2016,103,"Action,Crime,Drama"
tt0323808,The Wicker Tree,The Wicker Tree,2011,96,"Drama,Horror"
